[19:43:30] server start http://127.0.0.1:8770 backend_ready=True
[19:50:24] 127.0.0.1 "GET /assets/exif_fixture_exif/masks/picture_1.png HTTP/1.1" 200 -
[19:50:24] 127.0.0.1 "GET /assets/exif_fixture_exif/masks/picture_2.png HTTP/1.1" 200 -
[19:50:24] 127.0.0.1 "GET /assets/exif_fixture_exif/masks/chair_1.png HTTP/1.1" 200 -
[19:50:24] 127.0.0.1 "GET /assets/exif_fixture_exif/masks/picture_3.png HTTP/1.1" 200 -
[19:50:24] 127.0.0.1 "GET /assets/exif_fixture_exif/masks/mirror_1.png HTTP/1.1" 200 -
[19:50:24] 127.0.0.1 "GET /assets/exif_fixture_exif/masks/sofa_chair_1.png HTTP/1.1" 200 -
[19:50:24] 127.0.0.1 "GET /assets/exif_fixture_exif/masks/table_1.png HTTP/1.1" 200 -
[19:50:24] 127.0.0.1 "GET /assets/exif_fixture_exif/masks/picture_4.png HTTP/1.1" 200 -
[19:57:09] server start http://127.0.0.1:8770 backend_ready=True
[19:57:13] 127.0.0.1 "GET /api/health HTTP/1.1" 200 -
[19:57:13] 127.0.0.1 "GET /api/build/status?id=__none__ HTTP/1.1" 404 -
[19:57:13] 127.0.0.1 "GET /api/build/status HTTP/1.1" 404 -
[19:57:13] 127.0.0.1 "POST /api/build HTTP/1.1" 400 -
[19:57:13] 127.0.0.1 "POST /api/build HTTP/1.1" 400 -
[19:57:13] 127.0.0.1 "GET / HTTP/1.1" 200 -
[19:57:13] 127.0.0.1 "GET /app.js HTTP/1.1" 200 -
[19:57:46] 127.0.0.1 "GET /?layout=grid HTTP/1.1" 200 -
[19:57:46] 127.0.0.1 "GET /app.js HTTP/1.1" 200 -
[19:57:47] 127.0.0.1 "GET /vendor/OrbitControls.js HTTP/1.1" 200 -
[19:57:47] 127.0.0.1 "GET /vendor/three.module.js HTTP/1.1" 200 -
[19:57:47] 127.0.0.1 "GET /api/health HTTP/1.1" 200 -
[19:57:48] 127.0.0.1 code 404, message File not found
[19:57:48] 127.0.0.1 "GET /data/index.json HTTP/1.1" 200 -
[19:57:48] 127.0.0.1 "GET /favicon.ico HTTP/1.1" 404 -
[19:57:48] 127.0.0.1 "GET /data/runs.json HTTP/1.1" 200 -
[19:57:48] 127.0.0.1 "GET /data/living_room.scene.json HTTP/1.1" 200 -
[19:57:48] 127.0.0.1 "GET /data/living_room.report.json HTTP/1.1" 200 -
[19:57:48] 127.0.0.1 "GET /assets/living_room/rgb.png HTTP/1.1" 200 -
[19:57:48] 127.0.0.1 "GET /assets/living_room/masks/chair_1.png HTTP/1.1" 200 -
[19:57:48] 127.0.0.1 "GET /assets/living_room/masks/picture_3.png HTTP/1.1" 200 -
[19:57:48] 127.0.0.1 "GET /assets/living_room/masks/mirror_1.png HTTP/1.1" 200 -
[19:57:48] 127.0.0.1 "GET /assets/living_room/masks/sofa_1.png HTTP/1.1" 200 -
